Symbol,Security,Sector,Sub-Industry,Date first added
TROY,TROYUSDT,Cryptocurrency,Digital Asset,2024-09-01
VITE,VITEUSDT,Cryptocurrency,Digital Asset,2024-09-01
FTT,FTTUSDT,Cryptocurrency,Digital Asset,2024-09-01
EUR,EURUSDT,Cryptocurrency,Digital Asset,2024-09-01
OGN,OGNUSDT,Cryptocurrency,Digital Asset,2024-09-01
DREP,DREPUSDT,Cryptocurrency,Digital Asset,2024-04-01
BULL,BULLUSDT,Cryptocurrency,Digital Asset,2020-03-01
BEAR,BEARUSDT,Cryptocurrency,Digital Asset,2020-03-01
ETHBULL,ETHBULLUSDT,Cryptocurrency,Digital Asset,2020-03-01
ETHBEAR,ETHBEARUSDT,Cryptocurrency,Digital Asset,2020-03-01
TCT,TCTUSDT,Cryptocurrency,Digital Asset,2022-10-01
WRX,WRXUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTS,BTSUSDT,Cryptocurrency,Digital Asset,2023-12-01
LSK,LSKUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNT,BNTUSDT,Cryptocurrency,Digital Asset,2024-09-01
LTO,LTOUSDT,Cryptocurrency,Digital Asset,2024-09-01
EOSBULL,EOSBULLUSDT,Cryptocurrency,Digital Asset,2020-03-01
EOSBEAR,EOSBEARUSDT,Cryptocurrency,Digital Asset,2020-03-01
XRPBULL,XRPBULLUSDT,Cryptocurrency,Digital Asset,2020-03-01
XRPBEAR,XRPBEARUSDT,Cryptocurrency,Digital Asset,2020-03-01
STRAT,STRATUSDT,Cryptocurrency,Digital Asset,2020-11-01
AION,AIONUSDT,Cryptocurrency,Digital Asset,2023-02-01
MBL,MBLUSDT,Cryptocurrency,Digital Asset,2024-09-01
COTI,COTIUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNBBULL,BNBBULLUSDT,Cryptocurrency,Digital Asset,2020-03-01
BNBBEAR,BNBBEARUSDT,Cryptocurrency,Digital Asset,2020-03-01
STPT,STPTUSDT,Cryptocurrency,Digital Asset,2024-09-01
WTC,WTCUSDT,Cryptocurrency,Digital Asset,2023-12-01
DATA,DATAUSDT,Cryptocurrency,Digital Asset,2024-09-01
XZC,XZCUSDT,Cryptocurrency,Digital Asset,2021-01-01
SOL,SOLUSDT,Cryptocurrency,Digital Asset,2024-09-01
CTSI,CTSIUSDT,Cryptocurrency,Digital Asset,2024-09-01
HIVE,HIVEUSDT,Cryptocurrency,Digital Asset,2024-09-01
CHR,CHRUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTCUP,BTCUPUSDT,Cryptocurrency,Digital Asset,2024-02-01
BTCDOWN,BTCDOWNUSDT,Cryptocurrency,Digital Asset,2024-02-01
GXS,GXSUSDT,Cryptocurrency,Digital Asset,2022-04-01
ARDR,ARDRUSDT,Cryptocurrency,Digital Asset,2024-09-01
LEND,LENDUSDT,Cryptocurrency,Digital Asset,2020-10-01
MDT,MDTUSDT,Cryptocurrency,Digital Asset,2024-09-01
STMX,STMXUSDT,Cryptocurrency,Digital Asset,2024-09-01
KNC,KNCUSDT,Cryptocurrency,Digital Asset,2024-09-01
REP,REPUSDT,Cryptocurrency,Digital Asset,2022-12-01
LRC,LRCUSDT,Cryptocurrency,Digital Asset,2024-09-01
PNT,PNTUSDT,Cryptocurrency,Digital Asset,2024-04-01
COMP,COMPUSDT,Cryptocurrency,Digital Asset,2024-09-01
BKRW,BKRWUSDT,Cryptocurrency,Digital Asset,2020-08-01
SC,SCUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZEN,ZENUSDT,Cryptocurrency,Digital Asset,2024-09-01
SNX,SNXUSDT,Cryptocurrency,Digital Asset,2024-09-01
ETHUP,ETHUPUSDT,Cryptocurrency,Digital Asset,2024-02-01
ETHDOWN,ETHDOWNUSDT,Cryptocurrency,Digital Asset,2024-02-01
ADAUP,ADAUPUSDT,Cryptocurrency,Digital Asset,2023-08-01
ADADOWN,ADADOWNUSDT,Cryptocurrency,Digital Asset,2023-08-01
LINKUP,LINKUPUSDT,Cryptocurrency,Digital Asset,2023-04-01
LINKDOWN,LINKDOWNUSDT,Cryptocurrency,Digital Asset,2023-04-01
VTHO,VTHOUSDT,Cryptocurrency,Digital Asset,2024-09-01
DGB,DGBUSDT,Cryptocurrency,Digital Asset,2024-09-01
GBP,GBPUSDT,Cryptocurrency,Digital Asset,2023-12-01
SXP,SXPUSDT,Cryptocurrency,Digital Asset,2024-09-01
MKR,MKRUSDT,Cryptocurrency,Digital Asset,2024-09-01
DAI,DAIUSDT,Cryptocurrency,Digital Asset,2020-08-01
DCR,DCRUSDT,Cryptocurrency,Digital Asset,2024-09-01
STORJ,STORJUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNBUP,BNBUPUSDT,Cryptocurrency,Digital Asset,2024-02-01
BNBDOWN,BNBDOWNUSDT,Cryptocurrency,Digital Asset,2024-02-01
XTZUP,XTZUPUSDT,Cryptocurrency,Digital Asset,2022-01-01
XTZDOWN,XTZDOWNUSDT,Cryptocurrency,Digital Asset,2022-01-01
MANA,MANAUSDT,Cryptocurrency,Digital Asset,2024-09-01
AUD,AUDUSDT,Cryptocurrency,Digital Asset,2023-06-01
YFI,YFIUSDT,Cryptocurrency,Digital Asset,2024-09-01
BAL,BALUSDT,Cryptocurrency,Digital Asset,2024-09-01
BLZ,BLZUSDT,Cryptocurrency,Digital Asset,2024-09-01
IRIS,IRISUSDT,Cryptocurrency,Digital Asset,2024-09-01
KMD,KMDUSDT,Cryptocurrency,Digital Asset,2024-09-01
JST,JSTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SRM,SRMUSDT,Cryptocurrency,Digital Asset,2022-11-01
ANT,ANTUSDT,Cryptocurrency,Digital Asset,2024-02-01
CRV,CRVUSDT,Cryptocurrency,Digital Asset,2024-09-01
SAND,SANDUSDT,Cryptocurrency,Digital Asset,2024-09-01
OCEAN,OCEANUSDT,Cryptocurrency,Digital Asset,2024-07-01
NMR,NMRUSDT,Cryptocurrency,Digital Asset,2024-09-01
DOT,DOTUSDT,Cryptocurrency,Digital Asset,2024-09-01
LUNA,LUNAUSDT,Cryptocurrency,Digital Asset,2024-09-01
RSR,RSRUSDT,Cryptocurrency,Digital Asset,2024-09-01
PAXG,PAXGUSDT,Cryptocurrency,Digital Asset,2024-09-01
WNXM,WNXMUSDT,Cryptocurrency,Digital Asset,2024-06-01
TRB,TRBUSDT,Cryptocurrency,Digital Asset,2024-09-01
BZRX,BZRXUSDT,Cryptocurrency,Digital Asset,2021-12-01
SUSHI,SUSHIUSDT,Cryptocurrency,Digital Asset,2024-09-01
YFII,YFIIUSDT,Cryptocurrency,Digital Asset,2023-08-01
KSM,KSMUSDT,Cryptocurrency,Digital Asset,2024-09-01
EGLD,EGLDUSDT,Cryptocurrency,Digital Asset,2024-09-01
DIA,DIAUSDT,Cryptocurrency,Digital Asset,2024-09-01
RUNE,RUNEUSDT,Cryptocurrency,Digital Asset,2024-09-01
FIO,FIOUSDT,Cryptocurrency,Digital Asset,2024-09-01
UMA,UMAUSDT,Cryptocurrency,Digital Asset,2024-09-01
EOSUP,EOSUPUSDT,Cryptocurrency,Digital Asset,2021-12-01
EOSDOWN,EOSDOWNUSDT,Cryptocurrency,Digital Asset,2021-12-01
TRXUP,TRXUPUSDT,Cryptocurrency,Digital Asset,2022-11-01
TRXDOWN,TRXDOWNUSDT,Cryptocurrency,Digital Asset,2022-11-01
XRPUP,XRPUPUSDT,Cryptocurrency,Digital Asset,2023-05-01
XRPDOWN,XRPDOWNUSDT,Cryptocurrency,Digital Asset,2023-05-01
DOTUP,DOTUPUSDT,Cryptocurrency,Digital Asset,2022-11-01
DOTDOWN,DOTDOWNUSDT,Cryptocurrency,Digital Asset,2022-11-01
BEL,BELUSDT,Cryptocurrency,Digital Asset,2024-09-01
WING,WINGUSDT,Cryptocurrency,Digital Asset,2024-09-01
LTCUP,LTCUPUSDT,Cryptocurrency,Digital Asset,2022-01-01
LTCDOWN,LTCDOWNUSDT,Cryptocurrency,Digital Asset,2022-01-01
UNI,UNIUSDT,Cryptocurrency,Digital Asset,2024-09-01
NBS,NBSUSDT,Cryptocurrency,Digital Asset,2022-10-01
