Symbol,Security,Sector,Sub-Industry,Date first added
1SOL,1SOLUSDT,Cryptocurrency,Digital Asset,2024-09-01
PLT,PLTUSDT,Cryptocurrency,Digital Asset,2024-09-01
IZI,IZIUSDT,Cryptocurrency,Digital Asset,2024-09-01
QTUM,QTUMUSDT,Cryptocurrency,Digital Asset,2024-09-01
DCR,DCRUSDT,Cryptocurrency,Digital Asset,2024-09-01
ZEN,ZENUSDT,Cryptocurrency,Digital Asset,2024-09-01
THETA,THETAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MX,MXUSDT,Cryptocurrency,Digital Asset,2024-09-01
DGB,DGBUSDT,Cryptocurrency,Digital Asset,2024-09-01
RVN,RVNUSDT,Cryptocurrency,Digital Asset,2024-09-01
EGLD,EGLDUSDT,Cryptocurrency,Digital Asset,2024-09-01
RUNE,RUNEUSDT,Cryptocurrency,Digital Asset,2024-09-01
RAIN,RAINUSDT,Cryptocurrency,Digital Asset,2024-09-01
XEC,XECUSDT,Cryptocurrency,Digital Asset,2024-09-01
ICX,ICXUSDT,Cryptocurrency,Digital Asset,2024-09-01
XDC,XDCUSDT,Cryptocurrency,Digital Asset,2024-09-01
HNT,HNTUSDT,Cryptocurrency,Digital Asset,2022-10-01
BTG,BTGUSDT,Cryptocurrency,Digital Asset,2022-10-01
ZIL,ZILUSDT,Cryptocurrency,Digital Asset,2024-09-01
HBAR,HBARUSDT,Cryptocurrency,Digital Asset,2024-09-01
FLOW,FLOWUSDT,Cryptocurrency,Digital Asset,2024-09-01
KASTA,KASTAUSDT,Cryptocurrency,Digital Asset,2024-09-01
STX,STXUSDT,Cryptocurrency,Digital Asset,2024-09-01
SIDUS,SIDUSUSDT,Cryptocurrency,Digital Asset,2024-09-01
VPAD,VPADUSDT,Cryptocurrency,Digital Asset,2024-09-01
LOOKS,LOOKSUSDT,Cryptocurrency,Digital Asset,2024-09-01
MBS,MBSUSDT,Cryptocurrency,Digital Asset,2024-09-01
DAI,DAIUSDT,Cryptocurrency,Digital Asset,2020-08-01
ACA,ACAUSDT,Cryptocurrency,Digital Asset,2024-09-01
MV,MVUSDT,Cryptocurrency,Digital Asset,2024-09-01
MIX,MIXUSDT,Cryptocurrency,Digital Asset,2024-09-01
RSS3,RSS3USDT,Cryptocurrency,Digital Asset,2024-09-01
TAP,TAPUSDT,Cryptocurrency,Digital Asset,2024-09-01
ERTHA,ERTHAUSDT,Cryptocurrency,Digital Asset,2024-09-01
GMX,GMXUSDT,Cryptocurrency,Digital Asset,2024-09-01
T,TUSDT,Cryptocurrency,Digital Asset,2024-09-01
ACH,ACHUSDT,Cryptocurrency,Digital Asset,2024-09-01
JST,JSTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SUN,SUNUSDT,Cryptocurrency,Digital Asset,2024-09-01
BTT,BTTUSDT,Cryptocurrency,Digital Asset,2022-01-01
TRX,TRXUSDT,Cryptocurrency,Digital Asset,2024-09-01
NFT,NFTUSDT,Cryptocurrency,Digital Asset,2024-09-01
POKT,POKTUSDT,Cryptocurrency,Digital Asset,2024-09-01
SCRT,SCRTUSDT,Cryptocurrency,Digital Asset,2024-09-01
PSTAKE,PSTAKEUSDT,Cryptocurrency,Digital Asset,2024-09-01
SON,SONUSDT,Cryptocurrency,Digital Asset,2024-09-01
HERO,HEROUSDT,Cryptocurrency,Digital Asset,2024-09-01
DOME,DOMEUSDT,Cryptocurrency,Digital Asset,2024-09-01
USTC,USTCUSDT,Cryptocurrency,Digital Asset,2024-09-01
BNB,BNBUSDT,Cryptocurrency,Digital Asset,2024-09-01
NEAR,NEARUSDT,Cryptocurrency,Digital Asset,2024-09-01
PAXG,PAXGUSDT,Cryptocurrency,Digital Asset,2024-09-01
SD,SDUSDT,Cryptocurrency,Digital Asset,2024-09-01
